1 9
NN NN NN NN NN DR LR LR LR LR LR LR LR LR LR LD 
NN NN NN NN NN DU NN NN NN NN NN NN NN NN NN UD 
NN NN NN NN NN DU NN NN NN NN NN NN NN NN NN UD 
NN NN NN NN NN DU NN NN NN NN NN NN NN NN NN UD 
NN NN NN NN NN RU RL RL RL RL RL DL NN NN NN UD 
NN NN NN NN NN NN NN NN NN NN NN DU NN NN NN UD 
NN NN NN NN NN NN NN NN NN NN NN DU NN NN NN UD 
NN NN NN NN NN NN NN NN NN NN NN DU NN NN NN UD 
NN NN NN NN NN NN NN NN NN NN NN DU NN NN NN UD 
DR LR LR LR LR LR LR LR LR LR LR LU NN NN NN UD 
DU NN NN NN NN NN NN NN NN NN NN NN NN NN NN UD 
RU RL RL RL RL RL RL RL RL RL RL RL RL RL RL UL 
